"Sample","Mean","Median","SD","N","Missing"
"HC13",7425965.44005756,1842025.375,26061579.2123067,4107,0
"HC14",5579470.57839952,1489772.875,19850790.1301792,3166,0
"HC20",8309630.27844252,2081062.5,29408094.6687147,4419,0
"HC22",7979136.8378558,1865243,28913091.4542882,3589,0
"HC25",6001403.04030338,1351536.25,24772870.5385186,3521,0
"M1",9976975.60437886,2473943.75,36171918.3911176,4455,0
"M10",9477235.97767287,2809199,29691198.2462639,4357,0
"M11",9899412.27256971,3016594.5,30766097.3638221,4103,0
"M12",6907767.05702701,1976217.75,22098614.922006,3225,0
"M15",9145461.24934988,2309816.125,32562363.6592259,4218,0
